angle_bin_start,angle_bin_stop,u_med,v_med,w_med
0,5,-0.0017580668,0.018451469,-0.014599672
5,10,0.0024612052,0.019945856,-0.012814024
10,15,0.0042526615,0.022300197,-0.009660659
15,20,0.0039510224,0.022921477,-0.006217251
20,25,0.0033221422,0.02409506,-0.00483564
25,30,0.007165527,0.023050573,-0.0024848138
30,35,0.0052162567,0.024531849,-0.0016595419
35,40,0.008094576,0.026814174,0.00016416365
40,45,0.0045489958,0.021708071,0.0018626284
45,50,-0.0005917589,0.018629577,0.0031027892
50,55,0.009251464,0.021048646,0.0047618127
55,60,0.011969997,0.026175879,0.004736237
60,65,0.010267205,0.022044636,0.007824689
65,70,0.03142299,0.035721377,0.008657353
70,75,0.008199455,0.00971443,0.009669972
75,80,-0.011811884,-0.029940452,0.011334352
80,85,-0.16762123,-0.16023006,0.011218514
